"ctry","rgn","laua","n","lng","lat","ctrynm","rgnnm","lauanm"
"E92000001","E12000001","E06000001",3440,-1.22528165843023,54.6808900671512,"England","North East","Hartlepool"
"E92000001","E12000001","E06000002",5504,-1.22777163462936,54.555671587391,"England","North East","Middlesbrough"
"E92000001","E12000001","E06000003",5119,-1.06472678960735,54.572715229537,"England","North East","Redcar and Cleveland"
"E92000001","E12000001","E06000004",7170,-1.32139624811715,54.5668820748954,"England","North East","Stockton-on-Tees"
"E92000001","E12000001","E06000005",4308,-1.55038339879294,54.529947707753,"England","North East","Darlington"
"E92000001","E12000001","E06000047",20242,-1.6271311703883,54.7524251248394,"England","North East","County Durham"
"E92000001","E12000001","E06000057",16228,-1.79835440645797,55.1751265202736,"England","North East","Northumberland"
"E92000001","E12000001","E08000021",10315,-1.63256137159476,54.9870083308774,"England","North East","Newcastle upon Tyne"
"E92000001","E12000001","E08000022",7257,-1.50655704037481,55.0218969831886,"England","North East","North Tyneside"
"E92000001","E12000001","E08000023",4648,-1.44924987543029,54.9738006467298,"England","North East","South Tyneside"
"E92000001","E12000001","E08000024",9533,-1.43911753309556,54.8925928399245,"England","North East","Sunderland"
"E92000001","E12000001","E08000037",6963,-1.64481845871033,54.9437450817177,"England","North East","Gateshead"
"E92000001","E12000002","E06000006",4304,-2.72182855065056,53.3514062414033,"England","North West","Halton"
"E92000001","E12000002","E06000007",8295,-2.57849184183243,53.397445051959,"England","North West","Warrington"
"E92000001","E12000002","E06000008",5014,-2.47698591304348,53.7291578909055,"England","North West","Blackburn with Darwen"
"E92000001","E12000002","E06000009",5066,-3.03834195321753,53.8176535682985,"England","North West","Blackpool"
"E92000001","E12000002","E06000049",17639,-2.31230862288112,53.1970145960088,"England","North West","Cheshire East"
"E92000001","E12000002","E06000050",17239,-2.7908317289866,53.2342050500029,"England","North West","Cheshire West and Chester"
"E92000001","E12000002","E07000026",5563,-3.36145855419738,54.7128975737911,"England","North West","Allerdale"
"E92000001","E12000002","E07000027",2536,-3.21582933596215,54.1263421502366,"England","North West","Barrow-in-Furness"
"E92000001","E12000002","E07000028",4907,-2.89628942388425,54.9065999005502,"England","North West","Carlisle"
"E92000001","E12000002","E07000029",2970,-3.50238004713805,54.4719100306397,"England","North West","Copeland"
"E92000001","E12000002","E07000030",3098,-2.6699650697224,54.6451394448031,"England","North West","Eden"
